"country","reigon","total_population","gdp_gross_domestic_product","gdp_growth_rate","gdp_per_capita","Unemployment","population_growth_rate","urban_population","infant_mortality_rate","quality_of_life_index","purchasing_power_index","security_index","health_index","cost_of_living","rent_index"
"Romania","EasternEurope","19679","177956","3.7","9120.7","7.1","-0.6","54.6","8.7","143.04","53.44","72.05","53.11","35.63","9.59"
"Russian Federation","EasternEurope","143990","1326016","-3.7","9243.3","5.8","0.1","74","8.3","85.93","48.27","53.95","56.4","42.01","17.58"
"Saudi Arabia","WesternAsia","32938","653219","3.4","20710.6","5.5","2.8","83.1","13","146.41","138.05","76.35","60.41","48.37","14.36"
"Serbia","SouthernEurope","8791","37160","0.8","5238.6","15.5","-0.4","55.6","9.8","133.43","40.8","61.38","53.86","33.79","7.25"
"Singapore","South-easternAsia","5709","292734","2","52239","2","1.7","100","2.1","86.5","92.7","83.42","69.87","82.41","70.22"
"Slovakia","EasternEurope","5448","87268","3.8","16082.5","9.9","0.1","53.6","5.7","152.55","64.75","69.82","62.63","44.9","16.49"
"Slovenia","SouthernEurope","2080","42777","2.3","20689.8","8.1","0.3","49.7","2.5","175.45","78.23","75.95","64.35","53.24","14.06"
"South Africa","SouthernAfrica","56717","314571","1.3","5773","26","1.4","64.8","36.5","144.72","98.96","24.28","61.72","43.12","16.33"
"Spain","SouthernEurope","46354","1192955","3.2","25865.4","18.3","-0.2","79.6","2.9","183.65","87.87","68.72","76.65","54.98","18.83"
"Sri Lanka","SouthernAsia","20877","82316","4.8","3973.7","5.2","0.5","18.4","8.2","88.99","30.28","65.43","80.04","33.47","8.74"
"Sweden","NorthernEurope","9911","495694","4.1","50687.5","7.3","0.8","85.8","2.4","172.74","107.23","53.35","70.64","75.88","26.86"
"Switzerland","WesternEurope","8476","670790","0.8","80831.1","4.6","1.2","73.9","3.9","173.54","95.35","77.55","71.04","122.06","56.57"
"Thailand","South-easternAsia","69038","395168","2.8","5814.8","0.6","0.4","50.4","11.2","57.21","34.28","50.22","80.66","43.71","14.94"
"Turkey","WesternAsia","80745","717888","4","9125.8","10.8","1.6","73.4","12.6","129.63","55.64","58.91","71.68","38.6","10.56"
"Ukraine","EasternEurope","44223","90615","-9.9","2021.6","8.8","-0.5","69.7","8.8","87.49","26.93","48.73","49.81","26.22","9.36"
"United Arab Emirates","WesternAsia","9400","370296","3.8","40438.8","3.7","2","85.5","6.2","139.27","116.77","79.34","60.49","67.98","68.84"
"United Kingdom","NorthernEurope","66182","2858003","2.2","44162.4","5","0.6","82.6","4.1","172.87","96.85","58.81","74.28","69.49","30.98"
"United States of America","NorthernAmerica","324460","18036648","2.6","56053.8","4.9","0.7","81.6","6","179.73","123.17","51.24","68.22","75.42","40.3"
"Vietnam","South-easternAsia","95541","193241","6.7","2067.9","2.2","1.1","33.6","19.3","36.12","24.77","47.04","47.87","40.11","15.49"
